#GENE	COV-1-1	COV-10-1	COV-2-1	COV-3-1	COV-4-1	COV-5-1	COV-7-1	COV-8-1	THR-238	THR-303	THR-313	THR-337	THR-369	THR-399	THR-415	THR-417	THR-428	THR-432
A1BG	0	0	3	1	0	0	22	14	44	46	8	0	49	13	3	11	1	16
A1BG-AS1	14	52	52	0	40	0	58	16	101	69	51	28	57	51	53	93	59	37
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	82	23	127	8	0	59	0	11	119	135	45	26	190	33	11	92	70	179
A2M-AS1	0	7	0	5	21	30	0	9	0	0	6	0	0	0	0	0	0	0
A2ML1	11	3	13	14	0	0	0	3	8	0	10	0	0	5	0	6	6	1
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	3	0	0	2	0	0	103	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	3	0	0	0	0	28	10	0	9	0	0	0	18	0	0	0	31	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	27	47	66	2	26	1	56	42	55	29	0	17	14	37	11	25	28	39
AACS	30	85	147	8	0	12	53	5	60	0	93	0	37	21	13	23	46	38
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
AADAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	1303	504	678	81	571	48	470	504	1221	1403	1643	1076	752	1206	1007	1041	1071	1087
AAK1	114	66	73	186	8	190	103	157	82	98	29	3	27	31	1	121	48	85
AAMDC	39	12	30	130	51	56	37	47	58	59	37	10	23	25	12	56	15	30
AAMP	92	67	88	0	60	12	243	73	158	114	60	60	54	40	91	55	106	144
AANAT	13	16	15	10	3	0	17	6	0	10	0	2	4	3	12	2	1	2
AAR2	0	18	36	82	0	0	44	29	178	121	61	53	53	81	19	56	2	38
AARD	0	0	0	0	0	82	0	0	4	0	0	0	3	1	0	26	3	3
AARS1	344	147	223	9	549	26	242	81	227	0	64	44	43	11	65	31	160	52
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
