"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABHD14B",1180.12332485961,1.90848789320075,0.264729643152589,3.43175732940909,0.000599683900983605,0.0321193753080964
"AC007365.1",339.269874396596,-2.17776388883168,0.335717493007494,-3.50819934427839,0.000451150857293066,0.0259844353354616
"ACACA",137.263159805772,3.80006454474698,0.592427222679388,4.72642788439574,2.28503891316867e-06,0.000304998289219609
"ACKR2",72.3799458124139,-2.62311970614096,0.409793497779097,-3.96082347557382,7.46917354965956e-05,0.00581558151658215
"ADAM12",258.002177546902,-2.73838654931456,0.477715323538709,-3.63895915340824,0.000273742209981251,0.0177069095671719
"ADARB2",259.484458146989,-11.753682310967,1.97031437330317,-5.45785101944865,4.81931751397456e-08,1.26642628046913e-05
"ADK",30.2246349866644,-3.19387418680073,0.722883708775568,-3.03489227958498,0.00240621611411397,0.0954784627587494
"AFAP1-AS1",463.975307686194,-1.68037641341896,0.209906375288499,-3.24133277268896,0.00118972213803398,0.0543715948843897
"AHSP",282.931545944795,6.42887707218181,0.567365810317526,9.56856577089752,1.08398928402056e-21,4.55763294466444e-18
"ALAS2",405.122011688791,7.34577962255908,0.815578864239398,7.78070631891265,7.21207424082465e-15,6.06463322910945e-12
"ALDH1A2",80.3390598679081,-2.83393052838436,0.45098586333856,-4.06649227274694,4.77260669866589e-05,0.00401328497290815
"ALG1L6P",42.5781739548318,-3.44746346206333,0.570158855386795,-4.29259922728547,1.76593588192079e-05,0.00178293386796677
"ANKDD1B",1647.64115142018,-2.93199865424906,0.454180755800589,-4.25381002954101,2.1016361734913e-05,0.0020082566571464
"AP1B1",2204.00509256144,1.79222481259395,0.226608235095208,3.49601069114326,0.000472269777387124,0.0263001096559492
"ARL2",1417.00580503486,2.18195528236474,0.223898410751404,5.27898022320967,1.29904823335798e-07,2.60088014150173e-05
"ARMC3",1987.44659747594,-2.51728941039778,0.317714045237903,-4.77564474451118,1.79132388420945e-06,0.00024693840233307
"ATOX1",2697.57344322524,2.87437293362618,0.242807139072238,7.71959564610877,1.16699322334297e-14,8.92113274099186e-12
"BST1",31.1265507472786,4.30270029257599,1.01568853983644,3.25168608588204,0.00114722650238927,0.053005646475777
