"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG-AS1",40.9566896070077,-1.41098540079511,0.54252852512152,-2.60075799789341,0.00930180460298108,0.0354734126559945
"AAGAB",786.787830935556,-1.0014503147566,0.284282727320047,-3.52272656238156,0.000427131791705217,0.0030081668646978
"AAK1",95.1369999354386,1.34195659905341,0.450175640473141,2.98096226984426,0.00287344192890137,0.0139911830805626
"AAR2",42.5367871615897,-3.02189390747647,0.85458436387158,-3.5360978216196,0.000406084294985452,0.00288652817965568
"AASDHPPT",243.089288371205,-1.69625900451051,0.321061057227409,-5.28329103242515,1.26883578613698e-07,3.04846860732167e-06
"ABCA7",169.013383271229,0.877005409655534,0.330733770505678,2.6516959798651,0.00800886191728313,0.0313677316546035
"ABCB10",485.133911076824,1.36731136834252,0.31058225646767,4.40241301577655,1.070535153939e-05,0.00013828156850189
"ABCD4",26.6098299359952,-1.95255895603178,0.752855483767885,-2.59353753559664,0.00949941692192656,0.0359984663796667
"ABHD10",166.117699584747,-1.29430798829021,0.441886246055635,-2.92905244244069,0.00339997053696678,0.0159722638242199
"ABHD12",287.106684245622,0.992363965228217,0.292220211900675,3.39594567663075,0.000683919316970748,0.00445129840279181
"ABHD14B",1180.12332485961,1.90848789320075,0.264729643152589,7.20919603287761,5.62831863893229e-13,5.84302857219527e-11
"ABHD4",5839.55002049038,1.23811926624352,0.223903570692794,5.52969862165477,3.20781412844229e-08,9.39878362580879e-07
"ABI1",8027.88208707986,-1.20911795200275,0.20593423958689,-5.87137891410517,4.32185199775765e-09,1.58010667170192e-07
"ABI3",29.4089197441448,-2.4831758575552,0.902589071211079,-2.75116986983159,0.00593828409428554,0.024757080291942
"ABLIM3",13813.7559290933,0.471968132230176,0.167656213217598,2.81509478934501,0.00487628486216527,0.021401189669075
"AC004053.1",908.687974151967,-1.53678579683433,0.27785418722855,-5.53090745963903,3.18578369388106e-08,9.36687240623979e-07
"AC004063.1",50.9633521665099,-2.32871854002063,0.67198785297219,-3.46541761092964,0.00052940870812599,0.00359015953760601
"AC006460.2",101.969746264264,-1.36221096224194,0.407809682163747,-3.34031049732403,0.00083684770678466,0.00523200919431391
"AC007365.1",339.269874396596,-2.17776388883168,0.335717493007494,-6.48689429115647,8.76237701540893e-11,5.66790987096721e-09
"AC010642.2",269.309616823656,0.861412366949243,0.306355206094037,2.81180913467105,0.00492637263833851,0.021542312800722
"AC022182.2",238.448040763682,1.81949612478292,0.281250092859456,6.46931741882889,9.84466023605702e-11,6.27149605492451e-09
"AC074286.1",27.5559131446767,-4.49302271605632,1.21773452612496,-3.68965699802721,0.00022455661299499,0.00179325409180899
"AC079922.2",76.6570047575532,-1.1174804925043,0.421679495387053,-2.6500707402872,0.00804749189240967,0.0315043572268496
"AC104389.2",92.0104817441257,-2.14799675717614,0.724185370963342,-2.96608692097548,0.0030161523242989,0.0144847657881379
"AC133644.2",145.781046274341,-1.34916302857884,0.391156807397404,-3.44916157168684,0.000562330122787751,0.00377686421926693
"AC144652.1",2141.74443868998,-1.39136716238932,0.281785672756259,-4.93767887053944,7.90578837045043e-07,1.48500756024282e-05
"ACACA",137.263159805772,3.80006454474698,0.592427222679388,6.41439893251415,1.41379545600409e-10,8.49186142109886e-09
"ACADM",1211.97471790896,-1.29270011477316,0.261652038776625,-4.94053140505721,7.79099424018299e-07,1.46893431761657e-05
"ACADVL",2751.51171558426,1.09572475018414,0.226619623032241,4.83508327973988,1.33089904816593e-06,2.36108229873995e-05
"ACAT2",75.338557359742,1.57370016413764,0.608327840348687,2.5869277382334,0.009683589779529,0.0364826641828223
"ACCS",703.31444123974,-0.798978915600943,0.320362852786872,-2.49398114872101,0.0126319252987155,0.0452200339876112
"ACD",384.533084063009,-0.789145857127127,0.20776125330935,-3.79833026879229,0.000145674132738172,0.00126302106678784
"ACKR2",72.3799458124139,-2.62311970614096,0.409793497779097,-6.40107693352171,1.54284802154342e-10,8.98187498563172e-09
